"","PortID","PortName","State","PortNameTiCase","County_GEOID","CountyName"
"302","0000","COUNTY TOTAL"," MA","County Total","25021","Norfolk"
"303","0000","COUNTY TOTAL"," MI","County Total","26125","Oakland"
"304","0000","COUNTY TOTAL"," NY","County Total","36067","Onondaga"
"305","0000","COUNTY TOTAL"," CA","County Total","06059","Orange"
"306","0000","COUNTY TOTAL"," TX","County Total","48361","Orange"
"307","0000","COUNTY TOTAL"," LA","County Total","22071","Orleans"
"308","0000","COUNTY TOTAL"," FL","County Total","12097","Osceola"
"309","0000","COUNTY TOTAL"," NY","County Total","36075","Oswego"
"310","0000","COUNTY TOTAL"," FL","County Total","12099","Palm Beach"
"311","0000","COUNTY TOTAL"," ME","County Total","23019","Penobscot"
"312","0000","COUNTY TOTAL"," IL","County Total","17143","Peoria"
"313","0000","COUNTY TOTAL"," WA","County Total","53053","Pierce"
"314","0000","COUNTY TOTAL"," MA","County Total","25023","Plymouth"
"315","0000","COUNTY TOTAL"," IN","County Total","18127","Porter"
"316","0000","COUNTY TOTAL"," RI","County Total","44007","Providence"
"317","0000","COUNTY TOTAL"," WI","County Total","55101","Racine"
"318","0000","COUNTY TOTAL"," SC","County Total","45079","Richland"
"319","0000","COUNTY TOTAL"," NH","County Total","33015","Rockingham"
"320","0000","COUNTY TOTAL"," MI","County Total","26145","Saginaw"
"321","0000","COUNTY TOTAL"," DE","County Total","34033","Salem"
"322","0000","COUNTY TOTAL"," CA","County Total","06073","San Diego"
"323","0000","COUNTY TOTAL"," CA","County Total","06077","San Joaquin"
"324","0000","COUNTY TOTAL"," WA","County Total","53055","San Juan"
"325","0000","COUNTY TOTAL"," CA","County Total","06079","San Luis Obispo"
"326","0000","COUNTY TOTAL"," CA","County Total","06081","San Mateo"
"327","0000","COUNTY TOTAL"," TX","County Total","48409","San Patricio"
"328","0000","COUNTY TOTAL"," FL","County Total","12113","Santa Rosa"
"329","0000","COUNTY TOTAL"," WI","County Total","55117","Sheboygan"
"330","0000","COUNTY TOTAL"," WA","County Total","53057","Skagit"
"331","0000","COUNTY TOTAL"," AK","County Total","02230","Skagway"
"332","0000","COUNTY TOTAL"," WA","County Total","53061","Snohomish"
"333","0000","COUNTY TOTAL"," MI","County Total","26147","St. Clair"
"334","0000","COUNTY TOTAL"," LA","County Total","22093","St. James"
"335","0000","COUNTY TOTAL"," NY","County Total","36089","St. Lawrence"
"336","0000","COUNTY TOTAL"," FL","County Total","12111","St. Lucie"
"337","0000","COUNTY TOTAL"," LA","County Total","22101","St. Mary"
"338","0000","COUNTY TOTAL"," WA","County Total","53067","Thurston"
"339","0000","COUNTY TOTAL"," CA","County Total","06111","Ventura"
"340","0000","COUNTY TOTAL"," VA","County Total","51812","Virginia Beach"
"341","0000","COUNTY TOTAL"," VA","County Total","51812","Virginia Beach"
"342","0000","COUNTY TOTAL"," VA","County Total","51811","Virginia Beach"
"343","0000","COUNTY TOTAL"," VA","County Total","51811","Virginia Beach"
"344","0000","COUNTY TOTAL"," WV","County Total","51813","Virginia Beach"
"345","0000","COUNTY TOTAL"," NC","County Total","37183","Wake"
"346","0000","COUNTY TOTAL"," ME","County Total","23027","Waldo"
"347","0000","COUNTY TOTAL"," VA","County Total","51187","Warren"
"348","0000","COUNTY TOTAL"," ME","County Total","23029","Washington"
"349","0000","COUNTY TOTAL"," OR","County Total","41067","Washington"
"350","0000","COUNTY TOTAL"," WI","County Total","55133","Waukesha"
"351","0000","COUNTY TOTAL"," NY","County Total","36117","Wayne"
"352","0000","COUNTY TOTAL"," LA","County Total","22121","West Baton Rouge"
"353","0000","COUNTY TOTAL"," WA","County Total","53073","Whatcom"
"354","0000","COUNTY TOTAL"," OH","County Total","39173","Wood"
"355","0000","COUNTY TOTAL"," MA","County Total","25027","Worcester"
"356","0000","COUNTY TOTAL"," AK","County Total","02275","Wrangell"
"357","0000","COUNTY TOTAL"," NC","County Total","45091","York"
"358","0000","TOTAL FOR ALL US COASTAL PORTS","United States","Total for all US Coastal Ports","00000","National"
