"State","Nmfsname"
"Louisiana","Tuna, Bigeye"
"Louisiana","Pompano, Florida"
"Louisiana","Shrimp, Roughneck"
"Louisiana","Flounder, Southern"
"Louisiana","Amberjack, Greater"
"Louisiana","Sharks"
"Louisiana","Shark, Blacktip"
"Louisiana","Buffalofishes"
"Louisiana","Grouper, Yellowedge"
"Louisiana","Tuna, Bluefin"
"Louisiana","Garfishes"
"Louisiana","Sheepshead"
"Louisiana","Crayfishes, Freshwater"
"Louisiana","Snapper, Vermilion"
"Louisiana","Catfish, Channel"
"Louisiana","Mackerel, King"
"Louisiana","Swordfish"
"Louisiana","Drum, Black"
"Louisiana","Catfish, Blue"
"Louisiana","Shrimp, Atlanic Seabob"
"Louisiana","Mullet, Striped"
"Louisiana","Snapper, Red"
"Louisiana","Tuna, Yellowfin"
"Louisiana","Oyster, Eastern"
"Louisiana","Crab, Blue"
"Louisiana","Menhadens"
"Louisiana","Shrimp, Northern Brown"
"Louisiana","Shrimp, Northern White"
"Maine","All Species"
"Maine","Bass, Black Sea"
"Maine","Tautog"
"Maine","Halibut, Greenland"
"Maine","Hake, Red"
"Maine","Bluefish"
"Maine","Groupers, Serranidae"
"Maine","Smelt, Rainbow"
"Maine","Squid, Shortfin Illex"
"Maine","Shad, American"
"Maine","Harvestfishes"
"Maine","Roughy, Big"
"Maine","Shark, Porbeagle"
"Maine","Flatfishes"
"Maine","Barrelfish"
"Maine","Hakes, Red And White"
"Maine","Mackerel, Atlantic"
"Maine","Shark, Dogfish, Spiny"
"Maine","Shrimps, Mantis"
"Maine","Seaweed, Rockweed"
"Maine","Clam, Razor, Atlantic"
"Maine","Squid, Longfin Loligo"
"Maine","Sharks"
"Maine","Hake, Silver"
"Maine","Vertebrates, Jawed"
"Maine","Sharks, Chondrichthyes"
"Maine","Flounder, Summer"
"Maine","Tilefishes"
"Maine","Halibut, Atlantic"
"Maine","Flounder, Winter"
"Maine","Clams, Quahog, Mercenaria"
"Maine","Oyster, Edible"
"Maine","Wolffish, Atlantic"
"Maine","Alewife"
"Maine","Skates, Rajidae"
"Maine","Flounder, Yellowtail"
"Maine","Oyster, Eastern"
"Maine","Cusk"
"Maine","Seaweed"
"Maine","Redfish, Acadian"
"Maine","Periwinkles, Atlantic"
"Maine","Crab, Jonah"
"Maine","Crabs, Decapoda (Order)"
"Maine","Hagfishes"
"Maine","Polychaete, Sandworms"
"Maine","Cucumbers, Sea"
"Maine","Mussel, Sea"
"Maine","Tuna, Bluefin"
"Maine","Crab, Atlantic Rock"
"Maine","Polychaete, Bloodworms"
"Maine","Haddock"
"Maine","Hake, White"
